land;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006
Baden-Württemberg;221.18;204.67;191.94;179.26;174.81;173.53;184.53;181.00;155.40;173.70;168.30;132.20;147.70
Bayern;483.17;440.73;447.38;406.83;444.31;432.04;430.00;434.60;433.55;320.05;270.55;274.05;277.55
Berlin;220.16;294.61;218.78;48.47;136.00;114.53;102.51;138.56;150.74;77.76;113.50;83.71;68.42
Brandenburg;80.17;178.95;156.46;132.94;138.05;138.05;138.05;138.05;138.05;104.76;103.43;90.00;90.00
Bremen;16.41;16.46;21.83;17.84;18.71;13.04;19.12;10.94;15.92;16.51;16.98;17.11;17.19
Hamburg;32.57;57.52;57.78;61.05;68.21;65.09;55.22;69.48;32.62;34.02;40.07;56.38;79.51
Hessen;110.44;112.48;117.60;122.71;130.38;130.38;116.32;111.21;108.25;64.85;132.60;151.35;168.19
Mecklenburg-Vorpommern;96.17;125.68;125.68;122.71;122.71;104.81;117.60;107.37;104.70;107.37;111.30;60.16;57.74
Niedersachsen;117.80;113.00;115.76;119.80;120.97;142.29;129.92;127.06;92.31;90.76;49.27;52.82;54.00
Nordrhein-Westfalen;347.37;295.83;254.83;259.22;196.95;184.17;173.12;168.01;178.92;176.92;174.64;174.64;172.00
Rheinland-Pfalz;92.19;92.85;91.11;93.31;93.31;93.31;92.95;92.70;87.67;67.67;67.67;69.10;67.60
Saarland;19.02;25.77;25.67;25.21;24.64;24.34;27.97;27.51;24.41;21.84;20.85;6.17;8.85
Sachsen;230.08;219.55;248.74;249.20;249.20;259.79;259.79;258.87;258.80;145.65;115.65;127.90;128.80
Sachsen-Anhalt;159.11;169.29;188.10;186.93;175.02;177.98;161.11;173.12;156.94;140.83;148.83;155.73;130.59
Schleswig-Holstein;26.08;32.31;41.93;37.78;40.39;49.90;49.24;39.78;10.00;54.44;48.40;45.18;49.70
Thüringen;112.48;156.46;177.06;174.71;184.22;184.73;184.73;169.08;147.33;113.70;113.78;117.10;109.90
Deutschland;2364.42;2536.16;2480.63;2237.98;2317.89;2287.98;2242.17;2247.34;2095.60;1710.83;1695.83;1613.60;1627.75