jahr,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen,Deutschland
1994,221.18,483.17,220.16,80.17,16.41,32.57,110.44,96.17,117.8,347.37,92.19,19.02,230.08,159.11,26.08,112.48,2364.42
1995,204.67,440.73,294.61,178.95,16.46,57.52,112.48,125.68,113.0,295.83,92.85,25.77,219.55,169.29,32.31,156.46,2536.16
1996,191.94,447.38,218.78,156.46,21.83,57.78,117.6,125.68,115.76,254.83,91.11,25.67,248.74,188.1,41.93,177.06,2480.63
1997,179.26,406.83,48.47,132.94,17.84,61.05,122.71,122.71,119.8,259.22,93.31,25.21,249.2,186.93,37.78,174.71,2237.98
1998,174.81,444.31,136.0,138.05,18.71,68.21,130.38,122.71,120.97,196.95,93.31,24.64,249.2,175.02,40.39,184.22,2317.89
1999,173.53,432.04,114.53,138.05,13.04,65.09,130.38,104.81,142.29,184.17,93.31,24.34,259.79,177.98,49.9,184.73,2287.98
2000,184.53,430.0,102.51,138.05,19.12,55.22,116.32,117.6,129.92,173.12,92.95,27.97,259.79,161.11,49.24,184.73,2242.17
2001,181.0,434.6,138.56,138.05,10.94,69.48,111.21,107.37,127.06,168.01,92.7,27.51,258.87,173.12,39.78,169.08,2247.34
2002,155.4,433.55,150.74,138.05,15.92,32.62,108.25,104.7,92.31,178.92,87.67,24.41,258.8,156.94,10.0,147.33,2095.6
2003,173.7,320.05,77.76,104.76,16.51,34.02,64.85,107.37,90.76,176.92,67.67,21.84,145.65,140.83,54.44,113.7,1710.83
2004,168.3,270.55,113.5,103.43,16.98,40.07,132.6,111.3,49.27,174.64,67.67,20.85,115.65,148.83,48.4,113.78,1695.83
2005,132.2,274.05,83.71,90.0,17.11,56.38,151.35,60.16,52.82,174.64,69.1,6.17,127.9,155.73,45.18,117.1,1613.6
2006,147.7,277.55,68.42,90.0,17.19,79.51,168.19,57.74,54.0,172.0,67.6,8.85,128.8,130.59,49.7,109.9,1627.75
2007,151.45,285.45,52.86,84.27,12.91,69.79,145.75,52.74,69.87,212.0,67.6,14.29,113.3,94.03,53.83,100.5,1580.63
2008,156.45,297.55,66.05,82.63,14.37,70.59,128.4,50.34,125.19,216.0,67.6,9.09,68.4,74.03,54.44,94.99,1576.12
2009,191.0,320.0,79.45,86.0,16.03,71.68,166.89,50.19,155.73,206.0,70.6,8.16,56.0,56.23,54.44,100.3,1688.7
2010,187.0,318.0,54.74,78.7,19.66,69.37,166.89,45.9,160.84,193.0,70.6,16.93,56.0,47.23,56.02,114.2,1655.08
2011,232.5,259.0,57.48,72.83,13.11,86.19,128.5,46.3,121.27,196.75,65.6,18.03,55.5,43.35,45.19,30.0,1471.61
2012,210.0,238.0,58.75,77.0,11.71,82.67,128.5,43.44,127.82,196.5,65.6,17.15,55.6,33.02,45.01,20.0,1410.77
2013,225.00,305.00,55.30,0,11.54,75.61,145.50,38.00,137.42,193.00,68.60,14.76,55.00,33.02,45.01,34.00,1436.76
2014,250.00,298.00,66.49,0,21.44,106.45,145.50,33.00,139.54,199.30,68.60,14.58,55.00,27.87,49.30,33.50,1508.57
2015,277.00,286.00,0,0,21.70,58.62,146.20,30.00,153.16,198.00,68.60,14.58,59.09,19.20,53.40,30.00,1415.55
2016,295.20,286.00,0,0,21.68,58.56,0,29.00,144.73,199.70,68.60,14.58,55.00,19.20,43.40,20.00,1255.65
2017,240.40,282.40,0,0,24.53,63.53,0,28.00,143.28,210.50,71.60,14.58,44.33,16.63,43.40,20.00,1203.19
2018,297.13,365.40,0,0,21.46,63.53,0,27.50,156.61,253.27,71.60,19.21,44.50,5.36,54.72,20.00,1400.29
2019,281.31,373.43,0,0,21.46,78.43,0,27.00,155.56,291.24,71.60,19.21,60.00,5.00,92.45,20.00,1496.69
2020,291.31,366.93,0,0,21.07,78.53,0,27.00,151.12,324.60,71.60,19.21,60.00,11.00,72.70,20.00,1515.07
2021,291.31,365.43,0,0,0,78.53,0,27.0,150.74,324.6,67.8,20.21,54.5,16.25,59.6,20.0,1475.97