jhr;kh;btt;bett_10k;fälle;bb_tg;vwd;b_aus
1991;2.411;665.565;83.2;14.576.613;204.204;14.0;84.1
1992;2.381;646.995;80.3;14.974.845;198.769;13.3;83.9
1993;2.354;628.658;77.4;15.191.174;190.741;12.6;83.1
1994;2.337;618.176;75.9;15.497.702;186.049;12.0;82.5
1995;2.325;609.123;74.6;15.931.168;182.627;11.5;82.1
1996;2.269;593.743;72.5;16.165.019;175.247;10.8;80.6
1997;2.258;580.425;70.7;16.429.031;171.837;10.5;81.1
1998;2.263;571.629;69.7;16.847.477;171.802;10.2;82.3
1999;2.252;565.268;68.9;17.092.707;169.696;9.9;82.2
2000;2.242;559.651;68.1;17.262.929;167.789;9.7;81.9
2001;2.240;552.680;67.1;17.325.083;163.536;9.4;81.1
2002;2.221;547.284;66.4;17.432.272;159.937;9.2;80.1
2003;2.197;541.901;65.7;17.295.910;153.518;8.9;77.6
2004;2.166;531.333;64.4;16.801.649;146.746;8.7;75.5
2005;2.139;523.824;63.5;16.539.398;143.244;8.7;74.9
2006;2.104;510.767;62.0;16.832.883;142.251;8.5;76.3
2007;2.087;506.954;61.6;17.178.573;142.893;8.3;77.2
2008;2.083;503.360;61.3;17.519.579;142.535;8.1;77.4
2009;2.084;503.341;61.5;17.817.180;142.414;8.0;77.5
2010;2.064;502.749;61.5;18.032.903;141.942;7.9;77.4
2011;2.045;502.029;62.6;18.344.156;141.676;7.7;77.3
2012;2.017;501.475;62.4;18.620.442;142.024;7.6;77.4
2013;1.996;500.671;62.1;18.787.168;141.340;7.5;77.3
2014;1.980;500.680;61.8;19.148.626;141.534;7.4;77.4
2015;1.956;499.351;61.1;19.239.574;141.281;7.3;77.5
2016;1.951;498.718;60.6;19.532.779;142.170;7.3;77.9
2017;1.942;497.182;60.2;19.442.810;141.152;7.3;77.8
2018;1.925;498.192;60.1;19.392.466;140.225;7.2;77.1
2019;1.914;494.326;59.5;19.415.555;139.268;7.2;77.2
2020;1.903;487.783;58.7;16.793.962;120.202;7.2;67.3
2021;1887;483.606;58.1;16742344;20124;120421;68,2
2022;1893;480.382;57.3;16802693;20051;121049;69,0
2023;1874;476.924;56.4;17202131;20354;123894;71,2